SKU,Description,Length_in,Width_in,Height_in,Weight_lbs,Eaches,Weekly_Picks,Tray_Config,Pick_Priority
SM-00336,Flow Control,7.04,11.86,2.15,1.4,19,1,2,747
SM-01352,Limit Switch,9.31,1.84,1.83,2.11,29,3,3,318
SM-01099,Connecting Link,17.32,7.68,2.89,4.15,7,5,2,215
SM-01561,Thrust Bearing,1.7,11.21,1.16,2.05,38,0,3,847
SM-02041,Air Filter,3.21,6.96,1.44,4.66,4,2,3,448
SM-00451,Air Filter,10.69,3.19,1.64,6.31,13,1,3,525
SM-03375,Oil Seal,0.56,7.78,1.82,2.96,10,1,4,447
SM-01666,Machine Screw,17.95,5.01,3.07,0.49,8,1,2,901
SM-02957,Check Valve,15.57,11.34,2.07,0.94,9,0,1,505
SM-01657,Sprocket,4.73,8.01,3.43,6.18,3,4,2,331
SM-01350,Wiper Seal,0.81,5.28,0.94,2.61,24,13,4,12
SM-02140,Ring Terminal,2.51,0.88,1.31,5.87,36,3,4,181
SM-03163,Cotter Pin,16.44,5.37,4.92,3.52,1,1,2,1081
SM-00329,Belt,3.84,11.06,3.05,5.55,8,3,3,273
SM-01122,Photoelectric Sensor,15.49,3.95,3.13,5.24,4,0,2,1226
SM-02192,Spade Terminal,16.29,6.55,4.03,7.79,1,3,2,506
SM-00876,Flange Nut,13.41,3.14,1.19,3.46,6,7,3,86
SM-00016,Handle,12.46,1.72,3.74,2.52,13,5,3,141
SM-00596,Hinge,15.89,9.77,1.2,0.36,25,0,1,416
SM-01128,Compression Spring,4.64,8.79,3.16,1.89,7,0,2,1229
SM-02571,Limit Switch,9.11,0.64,1.14,0.84,27,0,4,547
SM-03283,Torsion Spring,4.89,8.11,3.15,6.82,16,1,2,1093
SM-03166,DIN Rail Mount,15.13,6.49,2.45,5.41,12,3,2,565
SM-00536,Flow Control,9.4,4.11,1.96,2.0,4,3,2,403
SM-01185,V-Belt,3.68,3.53,3.42,0.33,22,5,3,163
SM-00743,Fender Washer,11.64,7.17,3.99,7.4,1,0,2,1192
SM-03235,Fender Washer,2.13,11.53,3.95,3.59,5,4,3,251
SM-00015,Key Stock,7.32,8.8,4.65,3.56,5,3,2,370
SM-01991,Coupling Insert,9.28,4.52,2.52,1.0,5,1,2,944
